,Pommes,Salade verte,Tomates,Pommes de terre,Carottes,Oignons,Concombres,Lait,Oeufs,Farine,Sucre,Yaourts,Fromage rapé,Fromage,Crème fraiche,Beurre,Pain,Viennoiseries,Poulet,Jambon,Steak Haché,Saucisses,Pâtes,Riz,Lentilles,Huile d'olive,Sel,Eau,Jus de fruits,Café,Céréales,Thé,Thon,Légumes en conserve,Papier toilette,Savon,Dentifrice,Lessive,Liquide vaisselle,Biscuits,Chocolat,Chips,Pizzas,Légumes congelés
Fromage rapé,37,16,23,31,13,17,35,34,23,28,35,21,100,35,36,37,19,23,2,9,21,32,35,2,19,2,8,22,3,7,6,11,13,36,34,14,28,19,25,34,28,21,1,28
Fromage,27,11,33,17,31,34,31,27,19,3,36,19,21,100,39,36,31,23,19,23,21,24,24,36,23,3,3,14,2,26,9,11,9,32,25,9,14,7,13,28,33,17,16,33
Crème fraiche,34,12,21,36,15,11,38,21,9,15,31,22,18,23,100,32,36,35,29,27,23,1,8,24,5,31,36,34,25,23,13,2,9,2,2,22,17,26,5,12,18,3,1,19
Beurre,28,13,9,16,9,36,21,38,19,17,29,2,23,2,3,100,31,22,27,13,2,17,26,13,35,13,13,19,12,24,9,36,14,13,9,33,2,19,32,8,35,37,21,13
Pain,24,27,25,8,13,14,9,9,23,22,21,26,13,2,13,2,100,34,19,26,21,21,38,9,27,13,21,13,13,15,9,15,33,9,11,2,21,32,17,13,1,19,38,12
Viennoiseries,23,17,7,18,13,18,23,25,17,9,14,11,1,22,12,15,13,100,15,19,7,36,29,12,12,9,13,13,14,23,21,18,22,13,27,23,13,25,26,12,22,13,23,23
Poulet,13,13,6,28,25,23,11,23,18,2,17,31,27,12,22,16,19,11,100,34,32,27,16,36,23,12,11,19,35,2,37,21,18,1,1,17,36,12,11,1,13,1,31,13
Jambon,25,12,8,22,21,1,16,15,12,13,28,19,28,13,13,21,23,14,31,100,38,22,32,2,23,9,13,23,17,2,18,13,1,13,17,32,9,1,1,13,12,14,24,13
Steak Haché,31,26,19,19,25,13,21,23,24,13,13,13,19,19,1,13,12,19,39,22,100,38,2,12,13,23,23,13,12,9,14,1,13,14,21,21,14,13,1,19,19,13,19,23
Saucisses,26,1,19,13,25,18,13,9,9,13,13,13,19,19,1,13,12,19,39,22,38,100,2,12,13,23,23,13,12,9,14,1,13,14,21,21,14,13,1,19,19,13,19,23
Pâtes,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,100,38,38,38,38,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Riz,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,38,100,38,38,38,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Lentilles,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,38,38,100,38,38,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Huile d'olive,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,38,38,38,100,38,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Sel,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,38,38,38,38,100,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Eau,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,100,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Jus de fruits,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,100,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Café,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,100,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Céréales,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,100,13,13,13,13,13,13,13,13,13,13,13,13,13
Thé,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,100,13,13,13,13,13,13,13,13,13,13,13,13
Thon,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,100,13,13,13,13,13,13,13,13,13,13,13
Légumes en conserve,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,100,13,13,13,13,13,13,13,13,13,13
Papier toilette,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,100,38,38,38,38,13,13,13,13,13
Savon,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,38,100,38,38,38,13,13,13,13,13
Dentifrice,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,38,38,100,38,38,13,13,13,13,13
Lessive,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,38,38,38,100,38,13,13,13,13,13
Liquide vaisselle,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,38,38,38,38,100,13,13,13,13,13
Biscuits,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,100,38,38,38,38
Chocolat,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,38,100,38,38,38
Chips,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,38,38,100,38,38
Pizzas,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,38,38,38,100,38
Légumes congelés,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,38,38,38,38,100
